Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
knob-cap,81.5 ± 1.6,94.6 ± 0.8,94.6 ± 0.3,91.2 ± 0.3,27.3 ± 0.7,31.3 ± 0.9,71.3 ± 0.9,55.8 ± 4.8,43.6 ± 3.4,37.4 ± 2.1,75.6 ± 1.5,94.5 ± 1.2,95.0 ± 0.2,74.7 ± 8.3,62.7 ± 4.6,53.3 ± 8.3
laser_diode,64.2 ± 1.7,89.9 ± 0.2,91.6 ± 0.0,82.6 ± 0.5,3.2 ± 0.5,5.8 ± 0.4,68.7 ± 1.4,96.8 ± 1.8,90.7 ± 2.7,80.3 ± 2.5,70.3 ± 3.2,94.3 ± 0.9,94.0 ± 0.1,90.7 ± 6.1,82.7 ± 12.9,76.0 ± 10.6
lattice_block_plug,69.1 ± 4.1,92.2 ± 1.5,91.4 ± 0.2,95.4 ± 1.1,33.0 ± 7.6,37.4 ± 4.7,83.5 ± 3.6,90.4 ± 4.7,82.6 ± 5.2,75.6 ± 4.2,80.6 ± 4.1,96.9 ± 0.8,95.3 ± 0.7,72.0 ± 12.0,62.7 ± 11.5,49.3 ± 12.2
lego-pin-connector-plate,99.0 ± 0.3,99.9 ± 0.1,98.7 ± 0.3,97.8 ± 0.1,70.7 ± 1.8,66.4 ± 1.9,90.1 ± 0.5,8.6 ± 2.1,4.2 ± 0.9,2.4 ± 2.1,100.0 ± 0.0,100.0 ± 0.0,99.9 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
lego-propeller,83.8 ± 8.8,96.7 ± 2.4,94.9 ± 0.9,93.3 ± 2.6,24.9 ± 8.9,29.5 ± 6.4,73.5 ± 7.7,69.5 ± 18.1,55.6 ± 17.5,39.4 ± 14.8,80.8 ± 12.1,96.5 ± 3.0,95.5 ± 0.8,64.0 ± 13.9,56.0 ± 20.8,46.7 ± 18.5
lego-reel,99.0 ± 0.4,99.9 ± 0.1,98.9 ± 0.1,92.2 ± 0.9,50.5 ± 1.2,51.9 ± 1.7,88.5 ± 1.4,8.8 ± 1.6,5.6 ± 2.1,3.2 ± 1.6,99.5 ± 0.8,99.9 ± 0.1,99.6 ± 0.5,4.0 ± 6.9,4.0 ± 6.9,2.7 ± 4.6
lego-technical-gear,91.9 ± 0.8,98.5 ± 0.2,94.4 ± 0.5,98.0 ± 0.1,77.6 ± 1.0,72.2 ± 1.2,90.4 ± 0.6,67.8 ± 8.4,46.1 ± 5.3,21.8 ± 3.8,96.7 ± 0.7,99.4 ± 0.2,98.9 ± 0.4,10.7 ± 2.3,10.7 ± 2.3,5.3 ± 2.3
lego-turbine,90.2 ± 1.4,96.2 ± 0.4,92.3 ± 0.2,97.1 ± 0.2,71.1 ± 1.0,65.3 ± 1.1,83.2 ± 1.3,59.9 ± 4.3,40.4 ± 2.2,25.5 ± 2.8,80.5 ± 4.4,96.1 ± 0.3,95.6 ± 1.0,60.0 ± 13.9,46.7 ± 15.1,37.3 ± 19.7
lighting_connector,75.9 ± 0.9,91.3 ± 1.3,90.5 ± 0.1,96.3 ± 0.2,63.5 ± 1.3,58.7 ± 1.2,71.6 ± 1.2,93.7 ± 1.3,87.2 ± 1.9,71.2 ± 0.9,67.0 ± 4.2,91.4 ± 1.7,94.2 ± 0.1,94.7 ± 2.3,82.7 ± 6.1,60.0 ± 8.0
lilypad_led,85.1 ± 1.3,97.7 ± 0.2,94.6 ± 0.2,97.0 ± 0.3,45.4 ± 1.0,46.8 ± 0.7,92.7 ± 0.7,77.3 ± 4.0,60.5 ± 5.6,44.3 ± 6.0,90.4 ± 1.9,98.7 ± 0.3,95.4 ± 0.7,65.3 ± 14.0,52.0 ± 12.0,38.7 ± 11.5
limit-switch,92.0 ± 0.1,97.7 ± 0.1,93.0 ± 0.5,95.4 ± 0.3,35.4 ± 1.0,40.8 ± 1.2,81.9 ± 0.7,58.8 ± 5.7,37.4 ± 5.0,25.2 ± 0.9,98.5 ± 0.9,99.8 ± 0.1,98.2 ± 0.7,16.0 ± 13.9,8.0 ± 8.0,1.3 ± 2.3
lithium_battery_plug,91.7 ± 0.5,98.6 ± 0.1,95.4 ± 0.2,97.2 ± 0.1,52.8 ± 3.2,51.2 ± 2.9,83.8 ± 0.4,53.5 ± 5.7,36.3 ± 2.9,23.4 ± 1.5,93.9 ± 0.7,99.2 ± 0.1,96.7 ± 0.4,50.7 ± 11.5,34.7 ± 2.3,24.0 ± 4.0
littel-fuse,88.6 ± 1.5,98.5 ± 0.2,94.7 ± 0.2,93.8 ± 1.0,60.0 ± 2.4,56.5 ± 1.4,84.5 ± 1.3,71.9 ± 2.0,59.0 ± 6.6,40.7 ± 4.5,92.2 ± 1.5,99.0 ± 0.2,96.0 ± 0.3,58.7 ± 6.1,42.7 ± 18.5,26.7 ± 6.1
little_cow_model,73.4 ± 3.1,93.5 ± 0.6,92.5 ± 0.5,96.2 ± 0.7,45.1 ± 2.1,46.2 ± 1.6,83.9 ± 0.7,88.3 ± 6.4,75.7 ± 12.1,63.4 ± 10.5,73.5 ± 9.1,95.6 ± 1.7,94.8 ± 0.6,85.3 ± 9.2,69.3 ± 10.1,57.3 ± 10.1
lock,92.3 ± 1.0,98.9 ± 0.1,95.3 ± 0.1,89.2 ± 0.4,32.0 ± 0.8,30.7 ± 1.0,60.5 ± 0.9,57.3 ± 2.9,46.1 ± 9.4,31.4 ± 4.9,100.0 ± 0.0,100.0 ± 0.0,99.9 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
long-zipper,78.5 ± 1.4,95.7 ± 0.5,93.7 ± 0.2,68.4 ± 1.9,12.1 ± 1.5,20.9 ± 1.5,65.0 ± 0.9,87.1 ± 2.2,70.3 ± 5.1,53.5 ± 6.2,77.1 ± 4.2,96.0 ± 1.2,95.1 ± 0.2,73.3 ± 6.1,61.3 ± 12.2,53.3 ± 8.3
meteor_hammer_arrowhead,82.8 ± 0.6,96.6 ± 0.2,92.1 ± 0.2,90.0 ± 1.1,63.9 ± 2.3,60.9 ± 2.9,71.7 ± 2.3,84.9 ± 2.0,74.0 ± 0.6,59.1 ± 3.3,95.6 ± 0.7,99.4 ± 0.1,96.5 ± 0.1,48.0 ± 4.0,29.3 ± 2.3,13.3 ± 2.3
miniature_laser_module,77.4 ± 5.6,95.9 ± 1.2,94.1 ± 0.3,96.8 ± 0.3,34.5 ± 6.5,38.7 ± 3.3,87.4 ± 0.5,82.0 ± 7.4,66.7 ± 12.8,57.1 ± 13.1,77.3 ± 9.4,96.2 ± 1.5,94.7 ± 1.1,77.3 ± 22.0,69.3 ± 18.9,57.3 ± 20.1
miniature_lifting_motor,78.5 ± 0.2,96.8 ± 0.1,94.1 ± 0.1,98.2 ± 0.2,82.4 ± 1.6,74.0 ± 2.2,68.7 ± 1.2,88.8 ± 2.8,82.0 ± 2.8,69.0 ± 3.7,79.2 ± 1.8,97.0 ± 0.2,94.2 ± 0.1,93.3 ± 2.3,78.7 ± 2.3,66.7 ± 8.3
miniature_motor,81.6 ± 4.1,96.5 ± 1.2,95.0 ± 0.2,97.0 ± 2.2,54.3 ± 24.4,55.2 ± 18.0,73.9 ± 13.3,73.2 ± 2.2,62.3 ± 5.0,45.3 ± 4.7,77.3 ± 12.6,96.3 ± 2.5,95.8 ± 0.5,66.7 ± 11.0,61.1 ± 12.7,54.1 ± 14.4
miniature_stepper_motor,89.6 ± 2.1,98.5 ± 0.3,95.0 ± 0.5,90.6 ± 1.1,40.0 ± 1.9,40.1 ± 1.1,66.0 ± 1.5,69.6 ± 7.7,48.0 ± 4.2,30.7 ± 4.9,92.9 ± 2.3,99.0 ± 0.4,96.1 ± 0.5,61.3 ± 16.7,38.7 ± 8.3,24.0 ± 10.6
mobile_charging_connector,92.0 ± 1.4,98.9 ± 0.2,95.3 ± 0.2,96.9 ± 0.2,87.3 ± 0.4,81.4 ± 0.2,87.9 ± 0.6,62.7 ± 3.3,47.2 ± 10.6,28.0 ± 7.6,97.0 ± 0.6,99.6 ± 0.1,97.5 ± 0.6,26.7 ± 12.2,16.0 ± 0.0,9.3 ± 2.3
model_steering_module,88.6 ± 2.2,97.8 ± 0.5,92.7 ± 0.4,98.3 ± 0.1,67.2 ± 3.0,62.8 ± 1.9,87.6 ± 0.7,78.0 ± 6.1,60.8 ± 1.8,41.4 ± 3.3,90.8 ± 4.4,98.7 ± 0.5,95.8 ± 1.3,60.0 ± 24.3,46.7 ± 18.9,29.3 ± 19.7
monitor_socket,94.9 ± 0.5,99.2 ± 0.1,96.7 ± 0.3,97.4 ± 0.2,76.5 ± 0.3,68.8 ± 0.3,87.6 ± 0.7,38.0 ± 5.7,24.2 ± 3.6,13.3 ± 3.9,94.3 ± 0.6,99.1 ± 0.1,97.8 ± 0.4,26.7 ± 6.1,25.3 ± 4.6,16.0 ± 4.0
motor_bracket,81.4 ± 1.9,97.3 ± 0.3,94.1 ± 0.1,96.7 ± 0.7,75.3 ± 1.8,70.8 ± 1.3,79.1 ± 2.9,90.3 ± 5.7,80.3 ± 7.6,65.4 ± 6.7,87.5 ± 3.0,98.2 ± 0.4,95.3 ± 0.6,69.3 ± 11.5,56.0 ± 13.9,45.3 ± 9.2
motor_gear_reducer,60.5 ± 6.0,91.2 ± 1.4,94.0 ± 0.3,81.2 ± 1.1,14.3 ± 2.1,23.1 ± 3.3,62.3 ± 3.5,88.0 ± 9.1,79.7 ± 10.9,74.4 ± 11.1,61.9 ± 6.7,92.3 ± 1.5,94.3 ± 0.3,89.3 ± 8.3,86.7 ± 9.2,74.7 ± 10.1
motor_plug,84.5 ± 7.1,97.0 ± 1.6,95.6 ± 0.4,98.1 ± 0.5,82.2 ± 3.6,75.8 ± 2.5,92.1 ± 1.4,58.2 ± 10.5,46.4 ± 13.9,36.4 ± 15.2,82.4 ± 9.1,97.2 ± 1.6,95.7 ± 0.6,61.3 ± 12.2,56.0 ± 16.0,50.7 ± 20.1
mouse_socket,89.2 ± 1.0,98.0 ± 0.2,93.1 ± 0.6,98.9 ± 0.1,80.5 ± 1.7,75.3 ± 1.2,86.6 ± 0.8,74.8 ± 3.8,58.9 ± 6.4,40.7 ± 6.1,89.1 ± 2.7,98.5 ± 0.4,94.5 ± 0.5,84.0 ± 12.0,61.3 ± 9.2,42.7 ± 11.5
multi_function_switch,94.6 ± 0.6,99.3 ± 0.1,96.1 ± 0.1,94.5 ± 0.3,54.3 ± 1.5,54.9 ± 1.2,82.1 ± 0.3,51.2 ± 0.8,30.7 ± 1.2,14.7 ± 4.4,99.5 ± 0.2,99.9 ± 0.0,99.4 ± 0.1,4.0 ± 0.0,2.7 ± 2.3,2.7 ± 2.3
nylon_ball_head,84.4 ± 5.7,97.8 ± 0.8,94.7 ± 0.6,92.2 ± 1.6,59.6 ± 3.4,58.2 ± 3.4,79.6 ± 1.2,78.9 ± 14.4,65.6 ± 20.6,51.7 ± 19.7,88.7 ± 2.4,98.4 ± 0.3,95.4 ± 0.7,69.3 ± 10.1,53.3 ± 12.9,38.7 ± 18.9
optical_fiber_outlet,89.5 ± 1.8,98.4 ± 0.2,95.2 ± 0.4,98.3 ± 0.5,78.8 ± 7.4,71.5 ± 7.6,91.4 ± 1.6,65.3 ± 8.8,47.5 ± 7.5,31.0 ± 5.1,88.4 ± 1.6,98.4 ± 0.3,95.2 ± 0.5,70.7 ± 8.3,60.0 ± 4.0,40.0 ± 4.0
pencil_sharpener,91.2 ± 0.4,98.7 ± 0.1,94.6 ± 0.1,97.8 ± 0.3,67.0 ± 1.4,60.7 ± 1.2,81.3 ± 3.3,71.8 ± 4.7,42.9 ± 1.1,27.2 ± 5.2,93.5 ± 1.4,99.1 ± 0.2,96.6 ± 0.4,42.7 ± 6.1,34.7 ± 8.3,29.3 ± 12.9
pinboard_connector,91.6 ± 1.6,98.9 ± 0.2,94.8 ± 0.4,95.3 ± 0.6,45.4 ± 1.7,50.2 ± 1.9,90.0 ± 1.4,72.5 ± 8.6,58.9 ± 7.2,30.4 ± 12.5,96.6 ± 2.4,99.5 ± 0.4,98.5 ± 0.4,18.7 ± 4.6,13.3 ± 8.3,10.7 ± 6.1
pitch_connector,88.2 ± 0.3,97.9 ± 0.1,92.9 ± 0.4,97.3 ± 0.1,78.6 ± 0.9,75.2 ± 1.0,90.7 ± 0.6,82.6 ± 6.2,69.5 ± 6.5,43.4 ± 2.3,89.1 ± 1.4,98.5 ± 0.2,95.4 ± 0.4,66.7 ± 12.9,54.7 ± 6.1,45.3 ± 2.3
pneumatic_elbow,71.2 ± 1.5,95.1 ± 0.6,94.1 ± 0.1,89.5 ± 0.7,40.9 ± 2.9,41.5 ± 2.1,55.0 ± 1.7,91.4 ± 3.4,86.7 ± 3.9,75.8 ± 8.5,66.6 ± 3.8,94.7 ± 1.1,94.1 ± 0.0,94.7 ± 2.3,93.3 ± 2.3,86.7 ± 2.3
pot_core,93.1 ± 1.0,98.9 ± 0.1,95.8 ± 0.3,89.6 ± 0.3,50.4 ± 0.3,47.9 ± 0.5,57.7 ± 0.9,52.7 ± 6.8,36.5 ± 6.3,19.6 ± 6.1,97.0 ± 1.0,99.6 ± 0.1,98.1 ± 1.3,26.7 ± 15.1,16.0 ± 10.6,10.7 ± 4.6
potentiometer,69.8 ± 7.9,89.6 ± 1.3,94.0 ± 1.9,95.6 ± 2.3,10.0 ± 3.9,17.4 ± 6.3,83.4 ± 9.0,58.1 ± 23.5,54.5 ± 25.4,52.5 ± 26.1,87.1 ± 18.6,97.8 ± 3.2,97.5 ± 2.8,38.7 ± 49.7,37.3 ± 51.0,34.7 ± 49.7
power_bank_module,89.5 ± 1.8,98.3 ± 0.3,95.1 ± 0.4,96.5 ± 0.6,66.1 ± 2.7,60.8 ± 1.9,81.7 ± 0.7,57.0 ± 4.4,49.3 ± 1.5,32.1 ± 6.3,91.8 ± 3.2,98.7 ± 0.5,96.6 ± 1.5,48.0 ± 22.3,41.3 ± 19.7,22.7 ± 8.3
power_inductor,71.2 ± 1.5,94.4 ± 0.4,93.5 ± 0.2,81.1 ± 1.9,27.7 ± 4.2,31.5 ± 4.4,59.7 ± 2.6,85.5 ± 1.1,80.4 ± 4.3,72.2 ± 5.1,71.3 ± 4.2,95.4 ± 0.8,94.2 ± 0.2,90.7 ± 2.3,85.3 ± 2.3,70.7 ± 14.0
power_jack,66.9 ± 3.9,93.7 ± 0.9,94.0 ± 0.1,81.7 ± 0.3,3.6 ± 1.0,9.0 ± 2.4,63.7 ± 3.8,90.9 ± 3.2,83.3 ± 3.7,72.2 ± 8.6,68.9 ± 5.5,95.1 ± 0.6,94.6 ± 0.5,84.0 ± 10.6,81.3 ± 11.5,78.7 ± 12.9
power_strip_socket,84.2 ± 0.8,95.0 ± 0.3,87.2 ± 0.4,96.8 ± 0.3,58.1 ± 4.2,55.5 ± 3.3,82.4 ± 0.9,87.0 ± 4.1,76.3 ± 4.9,55.6 ± 3.5,95.2 ± 2.1,99.4 ± 0.3,96.0 ± 0.8,50.7 ± 16.2,33.3 ± 14.0,12.0 ± 6.9
pulse_transformer,72.8 ± 4.6,95.0 ± 0.9,93.8 ± 0.6,88.2 ± 1.6,42.5 ± 6.1,42.1 ± 4.8,71.4 ± 3.9,81.3 ± 9.9,72.3 ± 12.0,65.7 ± 10.6,84.3 ± 5.9,97.7 ± 0.9,95.2 ± 1.0,70.7 ± 18.9,60.0 ± 17.4,49.3 ± 9.2
purple-clay-pot,93.0 ± 0.3,98.4 ± 0.2,96.3 ± 0.2,98.7 ± 0.1,82.9 ± 0.9,76.2 ± 0.7,86.9 ± 0.8,42.6 ± 2.3,25.0 ± 0.7,14.2 ± 0.4,95.3 ± 1.2,99.0 ± 0.4,98.5 ± 0.3,14.8 ± 3.7,12.3 ± 2.1,8.6 ± 2.1
push_button_switch,89.5 ± 0.6,98.3 ± 0.2,94.2 ± 0.2,95.0 ± 0.1,56.5 ± 0.7,60.1 ± 0.7,76.2 ± 0.6,74.4 ± 4.7,56.3 ± 4.2,35.8 ± 4.0,94.9 ± 1.8,99.3 ± 0.3,96.3 ± 0.7,56.0 ± 6.9,34.7 ± 10.1,18.7 ± 12.9
push_in_terminal,79.5 ± 3.5,97.1 ± 0.6,94.7 ± 0.2,97.2 ± 0.5,48.2 ± 7.9,44.1 ± 7.7,86.4 ± 2.0,81.9 ± 7.9,70.1 ± 10.4,57.2 ± 7.8,84.0 ± 4.5,97.9 ± 0.8,95.2 ± 0.5,75.4 ± 9.1,72.5 ± 6.7,62.3 ± 9.0
recorder_switch,73.7 ± 2.3,94.4 ± 0.7,94.1 ± 0.1,94.4 ± 0.6,17.4 ± 3.7,27.7 ± 2.7,61.5 ± 2.2,91.9 ± 1.2,81.1 ± 2.8,64.0 ± 4.4,68.9 ± 5.6,93.8 ± 1.3,94.5 ± 0.2,82.7 ± 6.1,73.3 ± 6.1,65.3 ± 8.3
rectangular-connector-accessories,78.9 ± 1.6,90.6 ± 0.9,84.6 ± 0.8,92.2 ± 0.9,36.6 ± 2.4,37.8 ± 1.9,81.5 ± 1.7,83.4 ± 4.8,72.6 ± 5.0,60.8 ± 5.0,88.8 ± 1.7,98.5 ± 0.3,94.5 ± 0.3,84.0 ± 10.6,62.7 ± 6.1,41.3 ± 14.0
red_terminal,83.1 ± 1.5,96.9 ± 0.4,93.5 ± 0.2,95.7 ± 0.5,62.8 ± 2.5,68.9 ± 2.1,78.3 ± 0.9,77.8 ± 3.3,64.7 ± 4.7,53.1 ± 2.7,83.5 ± 2.4,97.6 ± 0.4,94.8 ± 0.3,81.3 ± 6.1,72.0 ± 14.4,56.0 ± 17.4
retaining_ring,80.1 ± 3.1,94.9 ± 0.7,90.8 ± 0.4,79.2 ± 2.3,40.6 ± 1.3,42.3 ± 0.7,62.7 ± 1.4,86.7 ± 4.6,76.0 ± 10.6,58.7 ± 7.3,70.1 ± 2.0,95.1 ± 0.4,94.7 ± 0.7,85.3 ± 8.3,81.3 ± 12.2,70.7 ± 10.1
rheostat,71.5 ± 9.6,94.8 ± 2.1,94.3 ± 0.1,92.6 ± 3.2,26.1 ± 5.9,28.5 ± 5.4,83.4 ± 3.8,84.1 ± 7.3,75.9 ± 9.4,66.9 ± 10.6,74.1 ± 11.4,95.6 ± 2.0,95.2 ± 0.6,66.7 ± 15.1,60.0 ± 20.8,56.0 ± 24.3
rotary_position_sensor,75.6 ± 2.7,94.0 ± 0.8,94.6 ± 0.4,87.2 ± 0.1,13.7 ± 0.4,18.4 ± 0.8,63.8 ± 0.0,61.9 ± 6.4,53.5 ± 5.9,48.3 ± 2.0,75.1 ± 2.0,95.6 ± 0.5,96.6 ± 0.6,53.3 ± 2.3,52.0 ± 0.0,50.7 ± 2.3
round_twist_switch,69.3 ± 1.9,94.0 ± 0.5,93.5 ± 0.1,89.9 ± 0.6,44.4 ± 1.3,45.4 ± 1.0,56.1 ± 1.0,95.5 ± 0.4,89.2 ± 5.0,78.2 ± 5.1,74.9 ± 2.3,95.9 ± 0.3,94.2 ± 0.1,94.7 ± 4.6,88.0 ± 4.0,68.0 ± 6.9
self-lock_switch,78.1 ± 2.0,96.7 ± 0.4,94.1 ± 0.1,94.1 ± 0.2,33.4 ± 3.3,36.7 ± 3.4,81.4 ± 0.3,86.7 ± 2.8,79.9 ± 3.9,67.2 ± 1.4,86.1 ± 3.6,98.1 ± 0.5,94.8 ± 0.8,74.7 ± 9.2,68.0 ± 10.6,53.3 ± 11.5
shelf_support_module,89.2 ± 0.8,98.4 ± 0.2,94.9 ± 0.1,90.1 ± 1.9,47.2 ± 3.2,43.2 ± 1.9,71.5 ± 2.1,67.7 ± 2.7,51.5 ± 2.3,33.8 ± 3.4,94.2 ± 1.6,99.2 ± 0.2,97.4 ± 0.6,30.7 ± 9.2,21.3 ± 6.1,18.7 ± 2.3
side_press_switch,93.4 ± 0.7,99.1 ± 0.1,95.9 ± 0.4,98.9 ± 0.1,85.1 ± 1.0,77.2 ± 1.0,89.9 ± 0.6,53.3 ± 5.6,40.8 ± 7.6,25.9 ± 3.8,95.3 ± 1.9,99.4 ± 0.3,96.2 ± 0.8,49.3 ± 11.5,36.0 ± 12.0,17.3 ± 12.2
side_release_buckle,73.7 ± 0.4,95.4 ± 0.3,94.1 ± 0.1,87.0 ± 1.1,24.8 ± 2.0,32.2 ± 1.3,84.8 ± 0.5,87.1 ± 1.2,74.0 ± 5.1,60.6 ± 6.9,67.7 ± 8.8,94.5 ± 2.0,94.4 ± 0.4,88.0 ± 4.0,77.3 ± 2.3,74.7 ± 6.1
silicon_cell_sensor,77.5 ± 3.4,96.4 ± 0.6,94.3 ± 0.1,87.9 ± 2.6,25.8 ± 5.6,38.4 ± 6.9,78.4 ± 1.6,87.5 ± 0.9,78.7 ± 4.7,68.0 ± 8.8,93.5 ± 2.2,98.9 ± 0.3,97.6 ± 0.8,26.7 ± 11.5,16.0 ± 8.0,14.7 ± 8.3
sim_card_reader,83.8 ± 3.5,97.4 ± 0.6,94.6 ± 0.4,95.4 ± 0.5,54.8 ± 0.8,52.8 ± 0.9,84.0 ± 1.3,75.8 ± 11.5,60.7 ± 7.6,44.3 ± 8.0,81.0 ± 6.0,97.1 ± 1.0,95.4 ± 0.6,62.7 ± 8.3,56.0 ± 10.6,56.0 ± 10.6
single-pole_potentiometer,78.2 ± 1.2,96.0 ± 0.4,93.4 ± 0.1,91.0 ± 1.9,53.7 ± 4.7,53.9 ± 3.5,69.0 ± 2.0,86.0 ± 1.5,77.8 ± 0.4,62.9 ± 3.5,78.7 ± 3.2,96.6 ± 0.9,94.8 ± 0.6,80.0 ± 10.6,72.0 ± 10.6,58.7 ± 15.1
single_switch,90.6 ± 0.8,98.7 ± 0.1,94.8 ± 0.4,98.8 ± 0.1,71.0 ± 3.3,65.6 ± 3.9,84.7 ± 1.0,77.0 ± 8.3,49.5 ± 7.4,31.8 ± 3.4,95.8 ± 0.4,99.4 ± 0.1,96.5 ± 0.5,56.0 ± 14.4,25.3 ± 16.2,9.3 ± 4.6
slide_switch,88.3 ± 0.3,97.8 ± 0.3,95.3 ± 0.4,93.4 ± 0.3,27.7 ± 3.1,30.1 ± 1.9,63.5 ± 0.8,64.3 ± 5.4,49.3 ± 3.1,34.6 ± 4.4,95.2 ± 2.3,98.9 ± 0.6,99.3 ± 0.3,8.0 ± 4.0,8.0 ± 4.0,8.0 ± 4.0
small_leaf,67.4 ± 4.0,92.0 ± 1.8,92.5 ± 0.2,93.9 ± 0.3,22.5 ± 4.3,29.3 ± 3.8,75.4 ± 3.0,90.4 ± 7.9,81.8 ± 4.7,73.4 ± 5.0,70.3 ± 4.8,94.4 ± 1.8,94.5 ± 0.5,85.3 ± 10.1,78.7 ± 9.2,70.7 ± 11.5
smd_receiver_module,62.5 ± 2.5,87.9 ± 1.0,89.7 ± 0.2,86.3 ± 1.1,20.6 ± 2.3,25.4 ± 1.7,58.8 ± 1.5,92.7 ± 1.0,86.6 ± 2.9,81.3 ± 4.0,82.6 ± 3.7,97.2 ± 0.8,94.6 ± 0.1,84.0 ± 10.6,72.0 ± 6.9,45.3 ± 11.5
solderless_adapter,76.6 ± 1.5,96.5 ± 0.2,94.4 ± 0.1,77.5 ± 4.0,26.0 ± 0.4,27.8 ± 1.0,71.1 ± 1.0,86.7 ± 1.2,79.5 ± 4.4,71.2 ± 4.2,74.0 ± 3.5,96.3 ± 0.5,94.4 ± 0.4,92.0 ± 4.0,84.0 ± 17.4,77.3 ± 15.1
spherical_airstone,83.3 ± 2.0,97.2 ± 0.3,93.6 ± 0.1,92.8 ± 0.1,42.6 ± 3.0,41.8 ± 3.8,69.2 ± 0.7,88.1 ± 0.9,69.6 ± 4.9,51.3 ± 4.7,91.3 ± 1.0,98.8 ± 0.2,96.4 ± 0.4,50.0 ± 7.2,34.7 ± 2.4,27.8 ± 4.8
spring_antenna,82.0 ± 1.5,95.9 ± 0.5,92.8 ± 0.2,86.4 ± 1.3,36.0 ± 2.7,40.2 ± 1.5,74.8 ± 1.3,77.8 ± 3.6,61.7 ± 4.8,46.3 ± 4.9,86.8 ± 2.3,97.9 ± 0.6,95.6 ± 0.4,60.0 ± 8.0,48.0 ± 12.0,30.7 ± 8.3
square_terminal,75.0 ± 2.8,95.9 ± 0.7,94.3 ± 0.1,84.2 ± 1.1,55.8 ± 1.8,55.3 ± 2.2,77.9 ± 0.9,93.9 ± 0.9,87.1 ± 5.3,72.2 ± 2.7,77.7 ± 7.6,95.9 ± 1.7,94.5 ± 0.2,84.7 ± 8.7,68.1 ± 14.6,51.4 ± 13.4
steering_T-head,97.9 ± 0.2,99.7 ± 0.0,97.5 ± 0.1,99.1 ± 0.0,90.1 ± 0.2,82.0 ± 0.2,94.3 ± 0.7,25.1 ± 2.0,13.5 ± 3.7,5.3 ± 1.6,99.0 ± 0.4,99.8 ± 0.1,99.0 ± 0.3,10.7 ± 6.1,8.0 ± 4.0,4.0 ± 0.0
steering_wheel,70.3 ± 5.4,94.5 ± 1.7,94.3 ± 0.1,96.8 ± 0.2,42.8 ± 6.1,44.2 ± 2.1,73.1 ± 1.2,87.2 ± 0.8,74.9 ± 1.7,64.5 ± 3.7,70.7 ± 6.5,94.8 ± 1.9,94.2 ± 0.1,92.0 ± 0.0,78.7 ± 6.1,68.0 ± 8.0
suction-cup,82.7 ± 0.3,96.5 ± 0.2,92.4 ± 0.0,95.4 ± 0.1,60.8 ± 1.1,58.1 ± 1.3,77.5 ± 1.2,88.6 ± 2.5,76.4 ± 0.6,58.2 ± 1.0,90.4 ± 0.9,98.7 ± 0.1,95.4 ± 0.2,69.3 ± 2.3,52.0 ± 6.9,38.7 ± 6.1
telephone_spring_switch,79.3 ± 1.7,97.0 ± 0.3,94.3 ± 0.1,96.9 ± 0.7,74.5 ± 2.2,70.6 ± 1.1,81.2 ± 3.4,86.4 ± 2.8,76.0 ± 2.9,62.1 ± 3.2,87.6 ± 1.2,98.1 ± 0.2,95.4 ± 0.6,62.7 ± 10.1,52.0 ± 6.9,36.0 ± 4.0
tension_snap_release_clip,82.7 ± 2.1,97.2 ± 0.3,94.3 ± 0.3,92.0 ± 1.4,57.7 ± 5.1,56.2 ± 3.6,75.6 ± 2.3,80.1 ± 6.0,62.8 ± 4.8,47.3 ± 5.4,85.4 ± 1.1,97.7 ± 0.2,96.3 ± 0.9,56.0 ± 8.0,50.7 ± 4.6,41.3 ± 4.6
thumbtack,87.8 ± 0.4,97.3 ± 0.2,92.2 ± 0.3,95.1 ± 0.6,50.0 ± 2.3,48.6 ± 2.1,88.3 ± 0.4,77.8 ± 4.4,61.9 ± 1.7,38.6 ± 2.2,91.9 ± 0.6,98.8 ± 0.2,96.3 ± 0.3,52.0 ± 10.6,32.0 ± 4.0,24.0 ± 4.0
thyristor,99.6 ± 0.1,99.9 ± 0.0,99.6 ± 0.3,92.0 ± 0.6,30.6 ± 1.2,31.6 ± 1.0,83.9 ± 0.3,3.2 ± 2.8,1.1 ± 0.5,0.8 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
toy-tire,88.3 ± 1.4,98.2 ± 0.3,94.0 ± 0.4,94.2 ± 0.4,60.5 ± 2.7,56.1 ± 2.5,73.7 ± 1.0,74.9 ± 5.7,57.5 ± 2.3,40.4 ± 3.6,94.9 ± 1.6,99.3 ± 0.2,96.4 ± 0.9,44.4 ± 15.8,33.3 ± 8.4,19.5 ± 8.7
