Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
knob-cap,81.5 ± 1.6,94.6 ± 0.8,94.6 ± 0.3,91.2 ± 0.3,27.3 ± 0.7,31.3 ± 0.9,71.3 ± 0.9,55.8 ± 4.8,43.6 ± 3.4,37.4 ± 2.1,75.6 ± 1.5,94.5 ± 1.2,95.0 ± 0.2,74.7 ± 8.3,62.7 ± 4.6,53.3 ± 8.3
laser_diode,64.2 ± 1.7,89.9 ± 0.2,91.6 ± 0.0,82.6 ± 0.5,3.2 ± 0.5,5.8 ± 0.4,68.7 ± 1.4,96.8 ± 1.8,90.7 ± 2.7,80.3 ± 2.5,70.3 ± 3.2,94.3 ± 0.9,94.0 ± 0.1,90.7 ± 6.1,82.7 ± 12.9,76.0 ± 10.6
lattice_block_plug,69.1 ± 4.1,92.2 ± 1.5,91.4 ± 0.2,95.4 ± 1.1,33.0 ± 7.6,37.4 ± 4.7,83.5 ± 3.6,90.4 ± 4.7,82.6 ± 5.2,75.6 ± 4.2,80.6 ± 4.1,96.9 ± 0.8,95.3 ± 0.7,72.0 ± 12.0,62.7 ± 11.5,49.3 ± 12.2
lego-pin-connector-plate,99.0 ± 0.3,99.9 ± 0.1,98.7 ± 0.3,97.8 ± 0.1,70.7 ± 1.8,66.4 ± 1.9,90.1 ± 0.5,8.6 ± 2.1,4.2 ± 0.9,2.4 ± 2.1,100.0 ± 0.0,100.0 ± 0.0,99.9 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
lego-propeller,83.8 ± 8.8,96.7 ± 2.4,94.9 ± 0.9,93.3 ± 2.6,24.9 ± 8.9,29.5 ± 6.4,73.5 ± 7.7,69.5 ± 18.1,55.6 ± 17.5,39.4 ± 14.8,80.8 ± 12.1,96.5 ± 3.0,95.5 ± 0.8,64.0 ± 13.9,56.0 ± 20.8,46.7 ± 18.5
lego-reel,99.0 ± 0.4,99.9 ± 0.1,98.9 ± 0.1,92.2 ± 0.9,50.5 ± 1.2,51.9 ± 1.7,88.5 ± 1.4,8.8 ± 1.6,5.6 ± 2.1,3.2 ± 1.6,99.5 ± 0.8,99.9 ± 0.1,99.6 ± 0.5,4.0 ± 6.9,4.0 ± 6.9,2.7 ± 4.6
lego-technical-gear,91.9 ± 0.8,98.5 ± 0.2,94.4 ± 0.5,98.0 ± 0.1,77.6 ± 1.0,72.2 ± 1.2,90.4 ± 0.6,67.8 ± 8.4,46.1 ± 5.3,21.8 ± 3.8,96.7 ± 0.7,99.4 ± 0.2,98.9 ± 0.4,10.7 ± 2.3,10.7 ± 2.3,5.3 ± 2.3
lego-turbine,90.2 ± 1.4,96.2 ± 0.4,92.3 ± 0.2,97.1 ± 0.2,71.1 ± 1.0,65.3 ± 1.1,83.2 ± 1.3,59.9 ± 4.3,40.4 ± 2.2,25.5 ± 2.8,80.5 ± 4.4,96.1 ± 0.3,95.6 ± 1.0,60.0 ± 13.9,46.7 ± 15.1,37.3 ± 19.7
lighting_connector,75.9 ± 0.9,91.3 ± 1.3,90.5 ± 0.1,96.3 ± 0.2,63.5 ± 1.3,58.7 ± 1.2,71.6 ± 1.2,93.7 ± 1.3,87.2 ± 1.9,71.2 ± 0.9,67.0 ± 4.2,91.4 ± 1.7,94.2 ± 0.1,94.7 ± 2.3,82.7 ± 6.1,60.0 ± 8.0
lilypad_led,85.1 ± 1.3,97.7 ± 0.2,94.6 ± 0.2,97.0 ± 0.3,45.4 ± 1.0,46.8 ± 0.7,92.7 ± 0.7,77.3 ± 4.0,60.5 ± 5.6,44.3 ± 6.0,90.4 ± 1.9,98.7 ± 0.3,95.4 ± 0.7,65.3 ± 14.0,52.0 ± 12.0,38.7 ± 11.5
limit-switch,92.0 ± 0.1,97.7 ± 0.1,93.0 ± 0.5,95.4 ± 0.3,35.4 ± 1.0,40.8 ± 1.2,81.9 ± 0.7,58.8 ± 5.7,37.4 ± 5.0,25.2 ± 0.9,98.5 ± 0.9,99.8 ± 0.1,98.2 ± 0.7,16.0 ± 13.9,8.0 ± 8.0,1.3 ± 2.3
lithium_battery_plug,91.7 ± 0.5,98.6 ± 0.1,95.4 ± 0.2,97.2 ± 0.1,52.8 ± 3.2,51.2 ± 2.9,83.8 ± 0.4,53.5 ± 5.7,36.3 ± 2.9,23.4 ± 1.5,93.9 ± 0.7,99.2 ± 0.1,96.7 ± 0.4,50.7 ± 11.5,34.7 ± 2.3,24.0 ± 4.0
littel-fuse,88.6 ± 1.5,98.5 ± 0.2,94.7 ± 0.2,93.8 ± 1.0,60.0 ± 2.4,56.5 ± 1.4,84.5 ± 1.3,71.9 ± 2.0,59.0 ± 6.6,40.7 ± 4.5,92.2 ± 1.5,99.0 ± 0.2,96.0 ± 0.3,58.7 ± 6.1,42.7 ± 18.5,26.7 ± 6.1
little_cow_model,73.4 ± 3.1,93.5 ± 0.6,92.5 ± 0.5,96.2 ± 0.7,45.1 ± 2.1,46.2 ± 1.6,83.9 ± 0.7,88.3 ± 6.4,75.7 ± 12.1,63.4 ± 10.5,73.5 ± 9.1,95.6 ± 1.7,94.8 ± 0.6,85.3 ± 9.2,69.3 ± 10.1,57.3 ± 10.1
lock,92.3 ± 1.0,98.9 ± 0.1,95.3 ± 0.1,89.2 ± 0.4,32.0 ± 0.8,30.7 ± 1.0,60.5 ± 0.9,57.3 ± 2.9,46.1 ± 9.4,31.4 ± 4.9,100.0 ± 0.0,100.0 ± 0.0,99.9 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
long-zipper,78.5 ± 1.4,95.7 ± 0.5,93.7 ± 0.2,68.4 ± 1.9,12.1 ± 1.5,20.9 ± 1.5,65.0 ± 0.9,87.1 ± 2.2,70.3 ± 5.1,53.5 ± 6.2,77.1 ± 4.2,96.0 ± 1.2,95.1 ± 0.2,73.3 ± 6.1,61.3 ± 12.2,53.3 ± 8.3
meteor_hammer_arrowhead,82.8 ± 0.6,96.6 ± 0.2,92.1 ± 0.2,90.0 ± 1.1,63.9 ± 2.3,60.9 ± 2.9,71.7 ± 2.3,84.9 ± 2.0,74.0 ± 0.6,59.1 ± 3.3,95.6 ± 0.7,99.4 ± 0.1,96.5 ± 0.1,48.0 ± 4.0,29.3 ± 2.3,13.3 ± 2.3
miniature_laser_module,77.4 ± 5.6,95.9 ± 1.2,94.1 ± 0.3,96.8 ± 0.3,34.5 ± 6.5,38.7 ± 3.3,87.4 ± 0.5,82.0 ± 7.4,66.7 ± 12.8,57.1 ± 13.1,77.3 ± 9.4,96.2 ± 1.5,94.7 ± 1.1,77.3 ± 22.0,69.3 ± 18.9,57.3 ± 20.1
miniature_lifting_motor,78.5 ± 0.2,96.8 ± 0.1,94.1 ± 0.1,98.2 ± 0.2,82.4 ± 1.6,74.0 ± 2.2,68.7 ± 1.2,88.8 ± 2.8,82.0 ± 2.8,69.0 ± 3.7,79.2 ± 1.8,97.0 ± 0.2,94.2 ± 0.1,93.3 ± 2.3,78.7 ± 2.3,66.7 ± 8.3
miniature_motor,81.6 ± 4.1,96.5 ± 1.2,95.0 ± 0.2,97.0 ± 2.2,54.3 ± 24.4,55.2 ± 18.0,73.9 ± 13.3,73.2 ± 2.2,62.3 ± 5.0,45.3 ± 4.7,77.3 ± 12.6,96.3 ± 2.5,95.8 ± 0.5,66.7 ± 11.0,61.1 ± 12.7,54.1 ± 14.4
miniature_stepper_motor,89.6 ± 2.1,98.5 ± 0.3,95.0 ± 0.5,90.6 ± 1.1,40.0 ± 1.9,40.1 ± 1.1,66.0 ± 1.5,69.6 ± 7.7,48.0 ± 4.2,30.7 ± 4.9,92.9 ± 2.3,99.0 ± 0.4,96.1 ± 0.5,61.3 ± 16.7,38.7 ± 8.3,24.0 ± 10.6
mobile_charging_connector,92.0 ± 1.4,98.9 ± 0.2,95.3 ± 0.2,96.9 ± 0.2,87.3 ± 0.4,81.4 ± 0.2,87.9 ± 0.6,62.7 ± 3.3,47.2 ± 10.6,28.0 ± 7.6,97.0 ± 0.6,99.6 ± 0.1,97.5 ± 0.6,26.7 ± 12.2,16.0 ± 0.0,9.3 ± 2.3
model_steering_module,88.6 ± 2.2,97.8 ± 0.5,92.7 ± 0.4,98.3 ± 0.1,67.2 ± 3.0,62.8 ± 1.9,87.6 ± 0.7,78.0 ± 6.1,60.8 ± 1.8,41.4 ± 3.3,90.8 ± 4.4,98.7 ± 0.5,95.8 ± 1.3,60.0 ± 24.3,46.7 ± 18.9,29.3 ± 19.7
monitor_socket,94.9 ± 0.5,99.2 ± 0.1,96.7 ± 0.3,97.4 ± 0.2,76.5 ± 0.3,68.8 ± 0.3,87.6 ± 0.7,38.0 ± 5.7,24.2 ± 3.6,13.3 ± 3.9,94.3 ± 0.6,99.1 ± 0.1,97.8 ± 0.4,26.7 ± 6.1,25.3 ± 4.6,16.0 ± 4.0
motor_bracket,81.4 ± 1.9,97.3 ± 0.3,94.1 ± 0.1,96.7 ± 0.7,75.3 ± 1.8,70.8 ± 1.3,79.1 ± 2.9,90.3 ± 5.7,80.3 ± 7.6,65.4 ± 6.7,87.5 ± 3.0,98.2 ± 0.4,95.3 ± 0.6,69.3 ± 11.5,56.0 ± 13.9,45.3 ± 9.2
motor_gear_reducer,60.5 ± 6.0,91.2 ± 1.4,94.0 ± 0.3,81.2 ± 1.1,14.3 ± 2.1,23.1 ± 3.3,62.3 ± 3.5,88.0 ± 9.1,79.7 ± 10.9,74.4 ± 11.1,61.9 ± 6.7,92.3 ± 1.5,94.3 ± 0.3,89.3 ± 8.3,86.7 ± 9.2,74.7 ± 10.1
Mean,81.7 ± 0.3,96.1 ± 0.0,94.2 ± 0.1,91.9 ± 0.0,48.1 ± 0.5,48.2 ± 0.4,76.0 ± 0.2,72.4 ± 1.1,60.8 ± 0.9,48.4 ± 0.9,83.9 ± 0.6,97.2 ± 0.1,95.9 ± 0.1,61.5 ± 2.3,52.0 ± 1.9,41.8 ± 1.4
